0, 0, Header, 1, 20, 120
1, 0, Start_track
1, 0, Time_signature, 4, 2, 24, 8
1, 0, Key_signature, 0, "major"
1, 0, Tempo, 428571
1, 4320, Tempo, 545455
1, 9600, Tempo, 600000
1, 9720, Tempo, 666667
1, 9840, Tempo, 750000
1, 9960, Tempo, 1200000
1, 10080, Tempo, 400000
1, 10080, End_track
2, 0, Start_track
2, 0, Title_t, "Soft karaoke"
2, 0, Text_t, "@KMIDI KARAOKE FILE"
2, 0, End_track
3, 0, Start_track
3, 0, Title_t, "Words"
3, 0, Text_t, "@LWords & Music by Seymour Simons & Gerald Marks"
3, 0, Text_t, "@TAll Of Me 1931 Vs2"
3, 0, Text_t, "@Tby James Pitt-Payne, London UK - 29Jan2017"
3, 0, Text_t, "@T2017"
3, 4380, Text_t, "\\You"
3, 4440, Text_t, " took"
3, 4500, Text_t, " my"
3, 4560, Text_t, " kiss"
3, 4620, Text_t, "es"
3, 4740, Text_t, "/and"
3, 4800, Text_t, " you"
3, 4860, Text_t, " took"
3, 4920, Text_t, " my"
3, 4980, Text_t, " love,"
3, 5340, Text_t, "/you"
3, 5400, Text_t, " taught"
3, 5460, Text_t, " me"
3, 5520, Text_t, " how"
3, 5640, Text_t, " to"
3, 5760, Text_t, " care;"
3, 6240, Text_t, "/am"
3, 6300, Text_t, " I"
3, 6360, Text_t, " to"
3, 6420, Text_t, " be"
3, 6540, Text_t, " just"
3, 6660, Text_t, " the"
3, 6720, Text_t, " rem"
3, 6840, Text_t, "nant"
3, 6900, Text_t, " of"
3, 7140, Text_t, "/a"
3, 7200, Text_t, " one"
3, 7260, Text_t, " sid"
3, 7320, Text_t, "ed"
3, 7380, Text_t, " love"
3, 7560, Text_t, " af"
3, 7680, Text_t, "fair?"
3, 8160, Text_t, "/All"
3, 8280, Text_t, " you"
3, 8400, Text_t, " took,"
3, 8520, Text_t, " I"
3, 8640, Text_t, " glad"
3, 8760, Text_t, "ly"
3, 8880, Text_t, " gave,"
